CBSA Code,Metro Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,State Abbreviation
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Brown County,South Dakota,46,013,Central,SD
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Edmunds County,South Dakota,46,045,Outlying,SD
10140,,,"Aberdeen, WA",Micropolitan Statistical Area,,,Grays Harbor County,Washington,53,027,Central,WA
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Callahan County,Texas,48,059,Outlying,TX
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Jones County,Texas,48,253,Outlying,TX
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Taylor County,Texas,48,441,Central,TX
10220,,,"Ada, OK",Micropolitan Statistical Area,,,Pontotoc County,Oklahoma,40,123,Central,OK
10260,,434,"Adjuntas, PR",Micropolitan Statistical Area,,"Ponce-Coamo-Santa Isabel, PR",Adjuntas Municipio,Puerto Rico,72,001,Central,PR
10300,,220,"Adrian, MI",Micropolitan Statistical Area,,"Detroit-Warren-Ann Arbor, MI",Lenawee County,Michigan,26,091,Central,MI
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Aguada Municipio,Puerto Rico,72,003,Central,PR
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Aguadilla Municipio,Puerto Rico,72,005,Central,PR
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Añasco Municipio,Puerto Rico,72,011,Central,PR
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Isabela Municipio,Puerto Rico,72,071,Central,PR
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Lares Municipio,Puerto Rico,72,081,Central,PR
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Moca Municipio,Puerto Rico,72,099,Central,PR
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Rincón Municipio,Puerto Rico,72,117,Central,PR
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,San Sebastián Municipio,Puerto Rico,72,131,Central,PR
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Utuado Municipio,Puerto Rico,72,141,Central,PR
10420,,184,"Akron, OH",Metropolitan Statistical Area,,"Cleveland-Akron-Canton, OH",Portage County,Ohio,39,133,Central,OH
10420,,184,"Akron, OH",Metropolitan Statistical Area,,"Cleveland-Akron-Canton, OH",Summit County,Ohio,39,153,Central,OH
10460,,,"Alamogordo, NM",Micropolitan Statistical Area,,,Otero County,New Mexico,35,035,Central,NM
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Baker County,Georgia,13,007,Outlying,GA
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Dougherty County,Georgia,13,095,Central,GA
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Lee County,Georgia,13,177,Central,GA
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Terrell County,Georgia,13,273,Outlying,GA
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Worth County,Georgia,13,321,Outlying,GA
