month,rate_30_year,points_30_year,zero_point_rate_30_year,rate_15_year,points_15_year,zero_point_rate_15_year
1971-06-01,7.53,1.2,7.83,,,
1971-07-01,7.6,1.2,7.9,,,
1971-08-01,7.7,1.3,8.02,,,
1971-09-01,7.69,1.1,7.96,,,
1971-10-01,7.63,1.1,7.9,,,
1971-11-01,7.55,1,7.8,,,
1971-12-01,7.48,1,7.73,,,
1972-01-01,7.44,0.95,7.68,,,
1972-02-01,7.33,0.9,7.55,,,
1972-03-01,7.3,0.92,7.53,,,
1972-04-01,7.29,0.93,7.52,,,
1972-05-01,7.37,0.88,7.59,,,
1972-06-01,7.37,0.92,7.6,,,
1972-07-01,7.4,0.93,7.63,,,
1972-08-01,7.4,0.9,7.63,,,
1972-09-01,7.42,0.96,7.66,,,
1972-10-01,7.42,0.95,7.66,,,
1972-11-01,7.43,0.98,7.67,,,
1972-12-01,7.44,0.98,7.69,,,
1973-01-01,7.44,0.9,7.66,,,
1973-02-01,7.44,0.95,7.68,,,
1973-03-01,7.46,0.92,7.69,,,
1973-04-01,7.54,0.93,7.77,,,
1973-05-01,7.65,0.9,7.88,,,
1973-06-01,7.73,0.9,7.96,,,
1973-07-01,8.05,0.95,8.29,,,
1973-08-01,8.5,1.04,8.76,,,
1973-09-01,8.82,1.1,9.09,,,
1973-10-01,8.77,1.05,9.03,,,
1973-11-01,8.58,1,8.83,,,
1973-12-01,8.54,1,8.79,,,
1974-01-01,8.54,1,8.79,,,
1974-02-01,8.46,1,8.71,,,
1974-03-01,8.41,1,8.66,,,
1974-04-01,8.58,1,8.83,,,
1974-05-01,8.97,1.08,9.24,,,
1974-06-01,9.09,1.2,9.39,,,
1974-07-01,9.28,1.25,9.59,,,
1974-08-01,9.59,1.28,9.91,,,
1974-09-01,9.96,1.4,10.31,,,
1974-10-01,9.98,1.5,10.35,,,
1974-11-01,9.79,1.38,10.13,,,
1974-12-01,9.62,1.28,9.93,,,
1975-01-01,9.43,1.22,9.74,,,
1975-02-01,9.11,1.2,9.41,,,
1975-03-01,8.9,1.1,9.18,,,
1975-04-01,8.82,1,9.07,,,
1975-05-01,8.91,1.08,9.18,,,
1975-06-01,8.89,1.03,9.15,,,
1975-07-01,8.89,1.1,9.17,,,
1975-08-01,8.94,1.1,9.22,,,
1975-09-01,9.13,1.13,9.41,,,
1975-10-01,9.22,1.12,9.5,,,
1975-11-01,9.15,1.13,9.43,,,
1975-12-01,9.1,1.1,9.37,,,
1976-01-01,9.02,1.08,9.29,,,
1976-02-01,8.81,0.95,9.05,,,
1976-03-01,8.76,1.3,9.08,,,
1976-04-01,8.73,1.3,9.06,,,
1976-05-01,8.77,1.3,9.09,,,
1976-06-01,8.85,1.3,9.17,,,
1976-07-01,8.93,1.2,9.23,,,
1976-08-01,9,1.2,9.3,,,
1976-09-01,8.98,1.2,9.28,,,
1976-10-01,8.93,1.16,9.22,,,
1976-11-01,8.81,1.3,9.14,,,
1976-12-01,8.79,1.22,9.1,,,
1977-01-01,8.72,1.1,9,,,
1977-02-01,8.67,1.13,8.95,,,
1977-03-01,8.69,1.2,8.99,,,
1977-04-01,8.75,1.12,9.03,,,
1977-05-01,8.83,1.13,9.11,,,
1977-06-01,8.86,1.1,9.13,,,
1977-07-01,8.94,1.1,9.22,,,
1977-08-01,8.94,1.1,9.22,,,
1977-09-01,8.9,1.12,9.18,,,
1977-10-01,8.92,1.18,9.22,,,
1977-11-01,8.92,1.13,9.2,,,
1977-12-01,8.96,1.22,9.27,,,
1978-01-01,9.02,1.28,9.33,,,
1978-02-01,9.15,1.3,9.47,,,
1978-03-01,9.2,1.3,9.53,,,
1978-04-01,9.36,1.25,9.67,,,
1978-05-01,9.57,1.33,9.9,,,
1978-06-01,9.71,1.4,10.06,,,
1978-07-01,9.74,1.4,10.09,,,
1978-08-01,9.79,1.3,10.11,,,
1978-09-01,9.76,1.34,10.09,,,
1978-10-01,9.86,1.2,10.16,,,
1978-11-01,10.11,1.23,10.41,,,
1978-12-01,10.35,1.4,10.7,,,
1979-01-01,10.39,1.5,10.77,,,
1979-02-01,10.41,1.5,10.78,,,
1979-03-01,10.43,1.54,10.81,,,
1979-04-01,10.5,1.5,10.87,,,
1979-05-01,10.69,1.6,11.09,,,
1979-06-01,11.04,1.62,11.44,,,
1979-07-01,11.09,1.65,11.51,,,
1979-08-01,11.09,1.66,11.51,,,
1979-09-01,11.3,1.63,11.71,,,
1979-10-01,11.64,1.65,12.05,,,
1979-11-01,12.83,1.68,13.25,,,
1979-12-01,12.9,1.6,13.3,,,
1980-01-01,12.88,1.6,13.28,,,
1980-02-01,13.04,1.64,13.45,,,
1980-03-01,15.28,1.98,15.78,,,
1980-04-01,16.33,1.93,16.81,,,
1980-05-01,14.26,1.86,14.73,,,
1980-06-01,12.71,1.8,13.16,,,
1980-07-01,12.19,1.75,12.63,,,
